,1075,,10789,3329,,,,,,478365,,1075,,10789,,,Francisco Moura,,,2990,,,https://transfermarkt.pt/francisco-moura/rueckennummern/spieler/478365,,
1085,3329,976,979,3329,976,,1436,447,,58965,,2457,,979,419,447,Rúben Lima,,3336,2457,3336,,https://transfermarkt.pt/ruben-lima/rueckennummern/spieler/58965,144,
,1108,,1108,3329,1108,,,,,483573,,1108,,1108,,,Martín Aguirregabiria,,,1108,,,https://transfermarkt.pt/martin-aguirregabiria/rueckennummern/spieler/483573,,
,4941,1390,839,3329,4331,,,,,395122,,4941,,276,,,Santiago Colombatto,,,475,,,https://transfermarkt.pt/santiago-colombatto/rueckennummern/spieler/395122,,
,141,,,3329,,,,,,461629,,3329,,13,,,Gustavo Assunção,,,3329,,,https://transfermarkt.pt/gustavo-assuncao/rueckennummern/spieler/461629,,
68608,162,2995,2425,3329,3349,,68608,9007,,99189,,2425,,703,4750,10958,Pelé,,68608,1032,,,https://transfermarkt.pt/pele/rueckennummern/spieler/99189,68608,
,2441,2441,2441,3329,2441,,,2423,,131574,,2441,,2441,979,2423,André Simões,,,2441,,,https://transfermarkt.pt/andre-simoes/rueckennummern/spieler/131574,979,
,618,,62105,3329,40,,,,,471582,,618,,10872,,,Zaydou Youssouf,,,618,,,https://transfermarkt.pt/zaydou-youssouf/rueckennummern/spieler/471582,,
,3329,,,3329,,,,,,610335,,3329,,1084,,,Iván Jaime,,,1084,,,https://transfermarkt.pt/ivan-jaime/rueckennummern/spieler/610335,,
,,,,75337,,,,,,982575,,,,,,,Gustavo Sá,,,,,,https://transfermarkt.pt/gustavo-sa/rueckennummern/spieler/982575,,
,3329,,,75337,,,,,,577590,,527,,8158,,,Pedro Brazão,,,,,,https://transfermarkt.pt/pedro-brazao/rueckennummern/spieler/577590,,
,3329,,10330,3329,41582,,,,,416089,,10330,,68780,,,David Tavares,,,10330,,,https://transfermarkt.pt/david-tavares/rueckennummern/spieler/416089,,
,2448,,,3329,,,,,,425028,,11000,,999,,,Puma,,,1108,,,https://transfermarkt.pt/puma/rueckennummern/spieler/425028,,
,16664,,1088,3329,,,,,,365770,,16664,,972,,,Alexandru Dobre,,,1071,,,https://transfermarkt.pt/alexandru-dobre/rueckennummern/spieler/365770,,
,3329,8024,1096,3329,2995,,,10331,,215122,,3329,,1096,41588,,Ivo Rodrigues,,,1096,,,https://transfermarkt.pt/ivo-rodrigues/rueckennummern/spieler/215122,2420,
,3329,,,75337,,,,,,585958,,8154,,,,,Junior Kadile,,,76794,,,https://transfermarkt.pt/junior-kadile/rueckennummern/spieler/585958,,
,3268,,,3329,,,,,,539154,,2990,,12964,,,Leandro Sanca,,,1075,,,https://transfermarkt.pt/leandro-sanca/rueckennummern/spieler/539154,,
,1701,,,3329,,,,,,453200,,1701,,,,,Théo Fonseca,,,68188,,,https://transfermarkt.pt/theo-fonseca/rueckennummern/spieler/453200,,
,3329,976,14596,3329,982,,,,,271256,,63966,,1085,531,,Jhonder Cádiz,,,63966,,,https://transfermarkt.pt/jhonder-cadiz/rueckennummern/spieler/271256,531,
,2995,21550,330,3329,585,,,2462,,271498,,14456,,28848,,,Deni Júnior,,,2995,,,https://transfermarkt.pt/deni-junior/rueckennummern/spieler/271498,,
,75337,,,3329,,,,,,817665,,3329,,,,,Pablo,,,,,,https://transfermarkt.pt/pablo/rueckennummern/spieler/817665,,
1085,1465,1075,931,3329,1075,,714,10330,,9335,,1075,,1082,294,714,Rui Fonte,,11,1075,9249,,https://transfermarkt.pt/rui-fonte/rueckennummern/spieler/9335,68608,
,2424,,537,2424,,,,,,610417,,537,,,,,Andrew,,,537,,,https://transfermarkt.pt/andrew/rueckennummern/spieler/610417,,
13641,964,16704,16704,2424,16704,,13641,10789,,98547,,2457,,16704,2425,21637,Stanislav Kritsyuk,,,41194,,,https://transfermarkt.pt/stanislav-kritsyuk/rueckennummern/spieler/98547,1075,
,2424,,,2424,,,,,,695141,,2424,,,,,Brian Araújo,,,2424,,,https://transfermarkt.pt/brian-araujo/rueckennummern/spieler/695141,,
,294,,,2424,,,,,,504087,,10330,,,,,Tomás Araújo,,,41582,,,https://transfermarkt.pt/tomas-araujo/rueckennummern/spieler/504087,,
,7119,,,2424,,,,,,742095,,4176,,,,,Gabriel Pereira,,,4176,,,https://transfermarkt.pt/gabriel-pereira/rueckennummern/spieler/742095,,
